Player Name	Adventurer Name	Adventurer URL	Spirit Core (Current)	Race	Sub-Race	Tier 1 Class	Tier 2 Class	Tier 3 Class	Exepdition Departure	Expedition Return	IP Lockout End
Vajra (mightygerm)	Vajra	https://docs.google.com/spreadsheets/d/1NQzLD5E7GzUlz7VdABewLZofzPMX-eDP/edit?gid=1997331408#gid=1997331408		1000	Youkai	Raijin	​	Electromancer, Battle Mage	4/10/2025	5/6/2025	
Garael Blanchweyld (PeasantKyr)	Garael Blanchweyld	https://docs.google.com/spreadsheets/d/1nZ3btPk5dfXlVl5e3_zzblg7Lsr-OVRuvpPnPq_V5Os/edit?gid=1997331408#gid=1997331408		1325	Fae	Dullahan	Fighter	Shieldwarden	4/17/2025	5/8/2025	5/13/2025
Lunatic | Roslyn Reinhardt	"Roslyn Reinhardt ""Ros"""	https://docs.google.com/spreadsheets/d/1Uzbpc6dqLzqya-VzJZ_ZRIlifiKnHg_X/edit?usp=sharing&ouid=115465355942803541036&rtpof=true&sd=true		1100	Human	Divine Protection	Adventurer, Acolyte	Shield Paladin	4/12/2025	4/19/2025	
Florentino	Finia Padfoot	https://docs.google.com/spreadsheets/d/1klr4donLb3l9lepUFzkj9AiXweVofANo/edit?gid=1997331408#gid=1997331408		1290	Chimera	Catfolk	Ranger, Acolyte	​	4/17/2025	5/8/2025	5/13/2025
Draco9889	Draco Kyrios	https://docs.google.com/spreadsheets/d/1cepzK9Ozhy__mn3WwtoNaKnMKaVC7Wfx/edit?gid=1997331408#gid=1997331408		1000	Fae	Salamander	Fighter, Mage, Adventurer	​			
Aranea Kaminari (Day)	Aranea Kaminari	https://docs.google.com/spreadsheets/d/11jnau8uSoMt723ndZJG_PFR-0zS6_uIJDzwn422khQM/edit?usp=sharing		1125	Youkai	Kitsune	Mage	Electromancer			
Aoyama, Shiro (Mordivandros)	Shiro Aoyama	https://docs.google.com/spreadsheets/d/12r81xdASHuFZguOEbgDtgfGISpQapiYu/edit?usp=sharing&ouid=107540010604117561993&rtpof=true&sd=true		1225	Youkai	Yuki-onna	Martial Artist, Ranger	Cryomancer	4/17/2025	5/8/2025	5/13/2025
Aki (Mega Mike 70)	Aki Nerys	https://docs.google.com/spreadsheets/d/11ZkVW8TzmVCHvZ3IoFpzADyudch5ijkd/edit?usp=sharing&ouid=100255924412336433744&rtpof=true&sd=true		1205	Youkai	Yuki-onna	Alchemist, Mage	Cryomancer			
Hannah Suffolk (Velvet Crowe)	Hannah Suffolk	https://docs.google.com/spreadsheets/d/1lmDUJVYAb6NB_iWQEW4OpBEzzw__U1XL/edit?gid=1997331408#gid=1997331408		1300	Chimera	Dogfolk	Fighter	Guardian	4/17/2025	5/8/2025	5/13/2025
Cendarion Ordir(Claw)	Cendarion Ordir	https://docs.google.com/spreadsheets/d/1vz4dHxdcSxHs_dyPVEYEfL9U1Y7iQlvM/edit?usp=sharing&ouid=111986131275884761407&rtpof=true&sd=true		1175	Fae	Cait Sith	Rogue, Ranger, Adventurer	​			
Leaflit	Queri	https://docs.google.com/spreadsheets/d/19c19pjdoyLGabkljTglQj79zCRech6Jm/edit?gid=95407551#gid=95407551		1880	Fae	Pixie	Alchemist, Transmuter, Fighter	Alkahest	5/2/2025	5/28/2025	6/3/2025
Kuroshiro (RognarB)	Kuroshiro	https://docs.google.com/spreadsheets/d/1CD5JXclbS5LAGobaZ5ZH50mfB6KUkgZz/edit?usp=sharing&ouid=101615191085713643468&rtpof=true&sd=true		1265	Youkai	Kitsune	Rogue	Saboteur	5/1/2025	5/15/2025	5/20/2025
Gin Pakkun (ARC)	Gin Pakkun	https://docs.google.com/spreadsheets/d/1ewWCf7cuPKsBkbZ0qRiUmTVisvhHOVOS/edit?usp=sharing&ouid=114685559888350341393&rtpof=true&sd=true		1000	Chimera	Dogfolk	Cavalier, Fighter	​			
Bobo (Jack Slurpee)	Bobo	https://docs.google.com/spreadsheets/d/11m8LWzDIvC7tjDLKsoVP3YHbsQB02GP4/edit?usp=sharing&ouid=100275211249997859484&rtpof=true&sd=true		1015	Youkai	Jiangshi	Acolyte	Shieldwarden	5/1/2025	5/15/2025	5/20/2025
Daimus D' Phnom (mightygerm)	Daimus D' Phnom	https://docs.google.com/spreadsheets/d/1N46iNXUJx-7qmoa0myRIRrb-3wILMHZu/edit?usp=sharing&ouid=113614747793717102959&rtpof=true&sd=true		1565	Demon	D'	Mage, Fighter	Spellblade			
Stout (invisi)	Stout Tou	https://docs.google.com/spreadsheets/d/e/2PACX-1vTPeg_Md6bbrpoBfp512jJ1ErXOH0PExs25M4RJaZt8X_AbZqsASOFyKMg_IVEpcA/pubhtml		1210	Fae	Salamander	Acolyte	Bard			
Takeshi Satoshi (John_Softpaw)	Takeshi Satoshi	https://docs.google.com/spreadsheets/d/1FiFGUCoCIULrx9Id61xaIUwTffB9vFsnYlk-7OQuJt4/edit?usp=sharing		1100	Youkai	Oni	Martial Artist	Wave Palm Style			
BLiNX	Hiscibus	https://docs.google.com/spreadsheets/d/1bQrCg3ZjG_NGqM-wYGlnMuU9x6LNPu_I/edit?usp=sharing&ouid=112753295979445814324&rtpof=true&sd=true		1050	Fae	Dullahan	Adventurer, Fighter	Shield Paladin			
Ryugo	Tenshi Mura	https://docs.google.com/spreadsheets/d/1XWNItf7QhLjTCqW2ftEfiMAoHOduKmGn/edit?gid=1997331408#gid=1997331408		1050	Youkai	Jiangshi	Adventurer	Iaido Style			
Synric	Synric Er'Ceidryn	https://docs.google.com/spreadsheets/d/1lFMEgace6mJBoo4_4kk3VQ29anUbeF5o/edit?gid=1997331408#gid=1997331408		1150	Fae	Salamander	Mage, Martial Artist, Ranger	Spellblade			
Morialis_	Mori Shinsaka	https://docs.google.com/spreadsheets/d/1oyMacgT54LZW6q2Qdw77mDZ2ck3iceOi_ChdZuJwAXQ/edit?gid=1562682898#gid=1562682898		1125	Youkai	Kitsune	Rogue	Time Thief			
takurov	Vadi Strongholm	https://docs.google.com/spreadsheets/d/1wrfi_7e-tZwHI7Ux2i6GKFE8HRE97tps/edit?gid=1997331408#gid=1997331408		1225	Human	​	Fighter	Sword Paladin			
Jckun	Teo	https://docs.google.com/spreadsheets/d/1orgtsOZfprIB236XpMkM0uHXbWU8PsbG/edit?gid=1997331408#gid=1997331408		900	Fae	Dullahan	Cavalier	​			
Mr Carter	Nicholas Vi Morrow	https://docs.google.com/spreadsheets/d/1hywxBMNzGJZPsD9GNDZCYdnW1Nz-gFKF/edit?gid=1997331408#gid=1997331408		1065	Demon	Vi	Alchemist	Alchemeister			
Ayra	Rin	https://docs.google.com/spreadsheets/d/1okJw7brAsfytu9NNQLiPwDz5iQEoDJH0/edit?gid=1997331408#gid=1997331408		950	Youkai	Tengu	Farmer	​			
